total_numeric,sexo_fct,nacionalidad_fct,grupo_quinquenal_de_edad_fct,periodo_fct,raza
1039404,Mujeres,Española,De 10 a 14 años,1 de julio de 2015,Ent
1028381,Mujeres,Española,De 10 a 14 años,1 de enero de 2015,Troll
1015947,Mujeres,Española,De 10 a 14 años,1 de julio de 2014,Hobbit
1002162,Mujeres,Española,De 10 a 14 años,1 de enero de 2014,Orco
986818,Mujeres,Española,De 10 a 14 años,1 de julio de 2013,Elfo
971503,Mujeres,Española,De 10 a 14 años,1 de enero de 2013,Orco
963217,Mujeres,Española,De 10 a 14 años,1 de julio de 2012,Ent
953713,Mujeres,Española,De 10 a 14 años,1 de enero de 2012,Elfo
943766,Mujeres,Española,De 10 a 14 años,1 de julio de 2011,Ent
932962,Mujeres,Española,De 10 a 14 años,1 de enero de 2011,Elfo
922784,Mujeres,Española,De 10 a 14 años,1 de julio de 2010,Ent
912771,Mujeres,Española,De 10 a 14 años,1 de enero de 2010,Ent
906864,Mujeres,Española,De 10 a 14 años,1 de julio de 2009,Ent
901560,Mujeres,Española,De 10 a 14 años,1 de enero de 2009,Humano
903211,Mujeres,Española,De 10 a 14 años,1 de julio de 2008,Humano
904686,Mujeres,Española,De 10 a 14 años,1 de enero de 2008,Ent
909735,Mujeres,Española,De 10 a 14 años,1 de julio de 2007,Ent
915303,Mujeres,Española,De 10 a 14 años,1 de enero de 2007,Hobbit
920906,Mujeres,Española,De 10 a 14 años,1 de julio de 2006,Hobbit
926895,Mujeres,Española,De 10 a 14 años,1 de enero de 2006,Ent
934675,Mujeres,Española,De 10 a 14 años,1 de julio de 2005,Ent
942568,Mujeres,Española,De 10 a 14 años,1 de enero de 2005,Ent
951231,Mujeres,Española,De 10 a 14 años,1 de julio de 2004,Ent
960028,Mujeres,Española,De 10 a 14 años,1 de enero de 2004,Hobbit
966433,Mujeres,Española,De 10 a 14 años,1 de julio de 2003,Orco
973055,Mujeres,Española,De 10 a 14 años,1 de enero de 2003,Ent
977463,Mujeres,Española,De 10 a 14 años,1 de julio de 2002,Orco
982190,Mujeres,Española,De 10 a 14 años,1 de enero de 2002,Ent
1119129,Hombres,Española,De 15 a 19 años,1 de enero de 2021,Ent
1110615,Hombres,Española,De 15 a 19 años,1 de julio de 2020,Ent
1103052,Hombres,Española,De 15 a 19 años,1 de enero de 2020,Ent
1090795,Hombres,Española,De 15 a 19 años,1 de julio de 2019,Ent
1078640,Hombres,Española,De 15 a 19 años,1 de enero de 2019,Hobbit
1065432,Hombres,Española,De 15 a 19 años,1 de julio de 2018,Humano
1052855,Hombres,Española,De 15 a 19 años,1 de enero de 2018,Hobbit
1044242,Hombres,Española,De 15 a 19 años,1 de julio de 2017,Humano
1035303,Hombres,Española,De 15 a 19 años,1 de enero de 2017,Ent
1025516,Hombres,Española,De 15 a 19 años,1 de julio de 2016,Ent
1015247,Hombres,Española,De 15 a 19 años,1 de enero de 2016,Ent
1005246,Hombres,Española,De 15 a 19 años,1 de julio de 2015,Troll
994954,Hombres,Española,De 15 a 19 años,1 de enero de 2015,Orco
988817,Hombres,Española,De 15 a 19 años,1 de julio de 2014,Ent
980917,Hombres,Española,De 15 a 19 años,1 de enero de 2014,Elfo
981375,Hombres,Española,De 15 a 19 años,1 de julio de 2013,Ent
